folder,druid,sourceid,label
80080016-IF000000543,rt760dk4772,sul:ARS0018_0334-A,
80080017-IF000000544,yz805db0007,sul:ARS0018_0335-A,
80030020-IF000000124,kn056hf2286,sul:ARS0018_0336-A,
80090020-IF000000642,yt622zm6917,sul:ARS0018_0337-A,
80020025-IF000000077,dh273pv7289,sul:ARS0018_0338-A,
80020026-IF000000078,zd654zp9546,sul:ARS0018_0339-A,
80070015-IF000000452,nf903rp8376,sul:ARS0018_0340-A,
80050023-IF000000324,kq878ky7643,sul:ARS0018_0341-A,
80060013-IF000000396,vp946bk6559,sul:ARS0018_0342-A,
80060014-IF000000397,qr926jv0237,sul:ARS0018_0343-A,
80110031-IF000000829,pk955fy4991,sul:ARS0018_0344-A,
80110032-IF000000830,km019yv2427,sul:ARS0018_0345-A,
80090021-IF000000643,zn935pn0362,sul:ARS0018_0347-A,
80110033-IF000000831,zy406wq3137,sul:ARS0018_0348-A,
80110034-IF000000832,tb464tp0116,sul:ARS0018_0351-A,
80110035-IF000000833,rf984bg6752,sul:ARS0018_0352-A,
80030021-IF000000125,wk033kd7853,sul:ARS0018_0353-A,
80030022-IF000000126,hm480wn2557,sul:ARS0018_0355-A,
80060015-IF000000398,mv037gy5014,sul:ARS0018_0356-A,
80110036-IF000000834,qm777td5073,sul:ARS0018_0357-A,
80020027-IF000000079,vv044yr6742,sul:ARS0018_0359-A,
80020028-IF000000080,pc341ry4542,sul:ARS0018_0360-A,
80070016-IF000000453,hj963gw2386,sul:ARS0018_0361-A,
80040021-IF000000184,pz799vf7611,sul:ARS0018_0362-A,
80030023-IF000000127,rm067pz0279,sul:ARS0018_0363-A,
80030024-IF000000128,kc912qv3809,sul:ARS0018_0364-A,
80090022-IF000000644,ky277xp3217,sul:ARS0018_0366-A,
80050024-IF000000325,rm464yz8277,sul:ARS0018_0367-A,
80050025-IF000000326,pw577ny6565,sul:ARS0018_0368-A,
80060016-IF000000399,nk887dn0119,sul:ARS0018_0369-A,
80090023-IF000000645,yn942fp5830,sul:ARS0018_0371-A,
80080018-IF000000545,zf455nm0607,sul:ARS0018_0372-A,
80110037-IF000000835,gv188qx7463,sul:ARS0018_0373-A,
80110038-IF000000836,kf449xm9889,sul:ARS0018_0374-A,
80110039-IF000000837,cv298xz4486,sul:ARS0018_0375-A,
80110040-IF000000838,kb350hm4962,sul:ARS0018_0376-A,
80100021-IF000000724,vj150dh6580,sul:ARS0018_0381-A,
80050026-IF000000327,hw637qj1336,sul:ARS0018_0382-A,
80040022-IF000000185,xv164kc7509,sul:ARS0018_0386-A,
80110041-IF000000839,by761rs0986,sul:ARS0018_0387-A,
80070017-IF000000454,cw275gg7441,sul:ARS0018_0403A-A,
80100022-IF000000725,yt920sc1483,sul:ARS0018_0404-A,
80100023-IF000000726,sz071bq5558,sul:ARS0018_0405-A,
80100024-IF000000727,cv413wc7294,sul:ARS0018_0406-A,
80070018-IF000000455,df017qq3293,sul:ARS0018_0414-A,
80070019-IF000000456,ft030wv6138,sul:ARS0018_0415-A,
80080019-IF000000546,dw085zv2262,sul:ARS0018_0420-A,
80080020-IF000000547,rm122pm6174,sul:ARS0018_0427-A,
80080021-IF000000548,rq450yj2927,sul:ARS0018_0429-A,
80080022-IF000000549,cd860rj5273,sul:ARS0018_0430-A,
80080023-IF000000550,gm146fq6000,sul:ARS0018_0443-A,
80080024-IF000000551,sq889jc3832,sul:ARS0018_0444-A,
80100025-IF000000728,rv876dn8425,sul:ARS0018_0463-A,
80100026-IF000000729,dz597kr2943,sul:ARS0018_0464-A,
80100027-IF000000730,yd129qr5601,sul:ARS0018_0465-A,
80100028-IF000000731,yn124dw8168,sul:ARS0018_0466-A,
80100029-IF000000732,by187vk8840,sul:ARS0018_0467-A,
80100030-IF000000733,qz575sh0857,sul:ARS0018_0471-A,
80110042-IF000000840,sw161dy2867,sul:ARS0018_0480-A,
80100031-IF000000734,ky001pd2658,sul:ARS0018_0483-A,
80100032-IF000000735,tz804pc2186,sul:ARS0018_0484-A,
80100033-IF000000736,tv081wf3609,sul:ARS0018_0487-A,
80100034-IF000000737,nr539fg2017,sul:ARS0018_0488-A,
80100035-IF000000738,cc238qc4918,sul:ARS0018_0489-A,
80100036-IF000000739,sf139mg4189,sul:ARS0018_0490-A,
80100037-IF000000740,ry161cn6808,sul:ARS0018_0491-A,
80100038-IF000000741,ss212dn4601,sul:ARS0018_0492-A,
80080025-IF000000552,qp983vn9851,sul:ARS0018_0497-A,
80100039-IF000000742,ny135mr9072,sul:ARS0018_0501-A,
8019046-IF000001416,pc157gk4972,sul:ARS0018_0517-A,
8019047-IF000001417,jh426yq3275,sul:ARS0018_0518-A,
80070020-IF000000457,qc294wf0485,sul:ARS0018_0519-A,
8019048-IF000001418,hk382zz1691,sul:ARS0018_0520-A,
8019049-IF000001419,wt176yx4418,sul:ARS0018_0521-A,
8019050-IF000001420,yx956qm2973,sul:ARS0018_0522-A,
8019051-IF000001421,br921fg3520,sul:ARS0018_0523-A,
8019052-IF000001422,ry566vz2384,sul:ARS0018_0524-A,
80030025-IF000000129,qm205cj5537,sul:ARS0018_0543-A,
80100040-IF000000743,tn592mr4374,sul:ARS0018_0544-A,
80100041-IF000000744,wf063yh0868,sul:ARS0018_0545-A,
80070021-IF000000458,zq652pk1428,sul:ARS0018_0546-A,
80030026-IF000000130,hz839sq7874,sul:ARS0018_0550-A,
80110043-IF000000841,xp191xc9771,sul:ARS0018_0551-A,
80080026-IF000000553,wt891yn5132,sul:ARS0018_0552-A,
80090024-IF000000646,xr601jm1381,sul:ARS0018_0558-A,
80100042-IF000000745,rv677kr2125,sul:ARS0018_0566-A,
80100043-IF000000746,fc494kj5607,sul:ARS0018_0567-A,
80080027-IF000000554,qg329ts8664,sul:ARS0018_0569-A,
80080028-IF000000555,sx139jh1496,sul:ARS0018_0573-A,
80090025-IF000000647,jn140yr1797,sul:ARS0018_0575-A,
80090026-IF000000648,rv223bz8286,sul:ARS0018_0579A-A,
80080029-IF000000556,dy775xk0720,sul:ARS0018_0606-A,
80070022-IF000000459,kh750pz4658,sul:ARS0018_0607-A,
80090027-IF000000649,mk601gg3277,sul:ARS0018_0608-A,
80080030-IF000000557,hg648cr3841,sul:ARS0018_0610-A,
80070023-IF000000460,gk409gf2298,sul:ARS0018_0613-A,
80070024-IF000000461,ky149yp7782,sul:ARS0018_0614-A,
80100044-IF000000747,gf610xs6258,sul:ARS0018_0620-A,
80100045-IF000000748,yd288tp7115,sul:ARS0018_0621-A,
80050027-IF000000328,jm908mg3571,sul:ARS0018_0624-A,
80050028-IF000000329,df504kj2178,sul:ARS0018_0625-A,
80050029-IF000000330,qb930rv4199,sul:ARS0018_0626-A,
80110044-IF000000842,kx929wk0296,sul:ARS0018_0627-A,
80110045-IF000000843,sv152sv0947,sul:ARS0018_0628-A,
80110046-IF000000844,ph203gy8459,sul:ARS0018_0629-A,
80090028-IF000000650,px886fm4301,sul:ARS0018_0630-A,
80110047-IF000000845,rf426fx8155,sul:ARS0018_0631-A,
80080031-IF000000558,ws860ws9988,sul:ARS0018_0632-A,
80030027-IF000000131,zp005rs0248,sul:ARS0018_0633-A,
80030028-IF000000132,hm249sd7401,sul:ARS0018_0634-A,
80020029-IF000000081,gy792dc6876,sul:ARS0018_0635-A,
80020030-IF000000082,pf810fp5532,sul:ARS0018_0636-A,
80110048-IF000000846,bh685wr2639,sul:ARS0018_0637-A,
80050030-IF000000331,pk339mx3063,sul:ARS0018_0638-A,
80040023-IF000000186,zq138bn3929,sul:ARS0018_0639-A,
80050031-IF000000332,qv554tz3038,sul:ARS0018_0640-A,
80050032-IF000000333,mv345ft3210,sul:ARS0018_0641-A,
80110049-IF000000847,px151sz0218,sul:ARS0018_0642-A,
80050033-IF000000334,hr901cy1000,sul:ARS0018_0643-A,
80050034-IF000000335,jt360bq7479,sul:ARS0018_0644-A,
80050035-IF000000336,hz868js3274,sul:ARS0018_0645-A,
80050036-IF000000337,pr246kp1186,sul:ARS0018_0646-A,
80110050-IF000000848,jp242xn4420,sul:ARS0018_0647-A,
80110051-IF000000849,jc341vq5405,sul:ARS0018_0648-A,
80080032-IF000000559,wn392ky2023,sul:ARS0018_0650-A,
80050037-IF000000338,rf669fy8524,sul:ARS0018_0651-A,
80050038-IF000000339,yw370vs0754,sul:ARS0018_0652-A,
80030029-IF000000133,cs285hj3489,sul:ARS0018_0653-A,
80030030-IF000000134,qg072pj9814,sul:ARS0018_0654-A,
80030031-IF000000135,kq805pr7012,sul:ARS0018_0655-A,
80090029-IF000000651,ft569qg7601,sul:ARS0018_0656-A,
80080033-IF000000560,ds529dm8243,sul:ARS0018_0657-A,
80080034-IF000000561,cp503ty3433,sul:ARS0018_0658-A,
80050039-IF000000340,qz809zz3341,sul:ARS0018_0659-A,
80080035-IF000000562,cb899rb1180,sul:ARS0018_0660-A,
80080036-IF000000563,bb947nm8958,sul:ARS0018_0661-A,
80090030-IF000000652,qz733zt0549,sul:ARS0018_0662-A,
80090031-IF000000653,cj536gs5888,sul:ARS0018_0663-A,
80050040-IF000000341,dy606bz3718,sul:ARS0018_0664-A,
80050041-IF000000342,rx739tb6498,sul:ARS0018_0665-A,
80060017-IF000000400,mg587mq2909,sul:ARS0018_0666-A,
80060018-IF000000401,zp420cs6556,sul:ARS0018_0667-A,
80060019-IF000000402,zr102rp5276,sul:ARS0018_0668-A,
80060020-IF000000403,nc676fd8776,sul:ARS0018_0669-A,
80110052-IF000000850,rk238nd6819,sul:ARS0018_0670-A,
80110053-IF000000851,st276xc6356,sul:ARS0018_0671-A,
80110054-IF000000852,zk953kf2681,sul:ARS0018_0672-A,
80110055-IF000000853,sz753wb5205,sul:ARS0018_0673-A,
80110056-IF000000854,zw410cg9414,sul:ARS0018_0674-A,
80040024-IF000000187,vp001mm6393,sul:ARS0018_0675-A,
80040025-IF000000188,sp107ds3555,sul:ARS0018_0676-A,
80070025-IF000000462,nj137wf0158,sul:ARS0018_0677-A,
80070026-IF000000463,bb083xk0373,sul:ARS0018_0678-A,
80110057-IF000000855,kq003yj1030,sul:ARS0018_0679-A,
80110058-IF000000856,yz596fx9035,sul:ARS0018_0680-A,
80090032-IF000000654,gb969wz9083,sul:ARS0018_0681-A,
80090033-IF000000655,gf994tf8968,sul:ARS0018_0682-A,
80090034-IF000000656,vb087tj3666,sul:ARS0018_0683-A,
80110059-IF000000857,mv328vy5266,sul:ARS0018_0684-A,
80020031-IF000000083,zx555rb6435,sul:ARS0018_0685-A,
80020032-IF000000084,dk933sk2217,sul:ARS0018_0686-A,
80110060-IF000000858,bf568gv0097,sul:ARS0018_0687-A,
80050042-IF000000343,jh439pn2504,sul:ARS0018_0688-A,
80050043-IF000000344,rb533st5153,sul:ARS0018_0689-A,
80090035-IF000000657,mj209tg2315,sul:ARS0018_0690-A,
80110061-IF000000859,bp192xp0161,sul:ARS0018_0691-A,
