source_id,filename,label,sequence,druid_no_audio
,fr674xw1724_3_a_pm.wav,"Tape 3, Side A",,
,fr674xw1724_3_a_sl.mp3,"Tape 3, Side A",5,
,fr674xw1724_3_b_pm.wav,"Tape 3, Side B",,
,fr674xw1724_3_b_sl.mp3,"Tape 3, Side B",6,
,fr674xw1724_4_a_pm.wav,"Tape 4, Side A",,
,fr674xw1724_4_a_sl.mp3,"Tape 4, Side A",7,
M1897_FAF0813940205-FAF0813940305-FAF0813940405-FAF0813940505,fs078fy1458_1_a_pm.wav,"Tape 1, Side A",,
,fs078fy1458_1_a_sl.mp3,"Tape 1, Side A",1,
,fs078fy1458_1_b_pm.wav,"Tape 1, Side B",,
,fs078fy1458_1_b_sl.mp3,"Tape 1, Side B",2,
,fs078fy1458_2_a_pm.wav,"Tape 2, Side A",,
,fs078fy1458_2_a_sl.mp3,"Tape 2, Side A",3,
,fs078fy1458_2_b_pm.wav,"Tape 2, Side B",,
,fs078fy1458_2_b_sl.mp3,"Tape 2, Side B",4,
,fs078fy1458_3_a_pm.wav,"Tape 3, Side A",,
,fs078fy1458_3_a_sl.mp3,"Tape 3, Side A",5,
,fs078fy1458_3_b_pm.wav,"Tape 3, Side B",,
,fs078fy1458_3_b_sl.mp3,"Tape 3, Side B",6,
,fs078fy1458_4_a_pm.wav,"Tape 4, Side A",,
,fs078fy1458_4_a_sl.mp3,"Tape 4, Side A",7,
,fs078fy1458_4_b_pm.wav,"Tape 4, Side B",,
,fs078fy1458_4_b_sl.mp3,"Tape 4, Side B",8,
M1897_FAF0509910103-FAF0509910203-FAF0509910303,fs286qq9179_1_a_pm.wav,"Tape 1, Side A",,
,fs286qq9179_1_a_sl.mp3,"Tape 1, Side A",1,
,fs286qq9179_1_b_pm.wav,"Tape 1, Side B",,
,fs286qq9179_1_b_sl.mp3,"Tape 1, Side B",2,
,fs286qq9179_2_a_pm.wav,"Tape 2, Side A",,
,fs286qq9179_2_a_sl.mp3,"Tape 2, Side A",3,
,fs286qq9179_2_b_pm.wav,"Tape 2, Side B",,
,fs286qq9179_2_b_sl.mp3,"Tape 2, Side B",4,
,fs286qq9179_3_a_pm.wav,"Tape 3, Side A",,
,fs286qq9179_3_a_sl.mp3,"Tape 3, Side A",5,
,fs286qq9179_3_b_pm.wav,"Tape 3, Side B",,
,fs286qq9179_3_b_sl.mp3,"Tape 3, Side B",6,
M1897_FAF0930990101,fx416dx4409_a_pm.wav,"Tape 1, Side A",,
,fx416dx4409_a_sl.mp3,"Tape 1, Side A",1,
,fx416dx4409_b_pm.wav,"Tape 1, Side B",,
,fx416dx4409_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF0000950414,gc150gw2011_a_pm.wav,"Tape 1, Side A",,
,gc150gw2011_a_sl.mp3,"Tape 1, Side A",1,
,gc150gw2011_b_pm.wav,"Tape 1, Side B",,
,gc150gw2011_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF0411910102-FAF0411910202,gf571gq3566_1_a_pm.wav,"Tape 1, Side A",,
,gf571gq3566_1_a_sl.mp3,"Tape 1, Side A",1,
,gf571gq3566_1_b_pm.wav,"Tape 1, Side B",,
,gf571gq3566_1_b_sl.mp3,"Tape 1, Side B",2,
,gf571gq3566_2_a_pm.wav,"Tape 2, Side A",,
,gf571gq3566_2_a_sl.mp3,"Tape 2, Side A",3,
,gf571gq3566_2_b_pm.wav,"Tape 2, Side B",,
,gf571gq3566_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF1014970102-FAF1014970202,gj856zn6026_1_a_pm.wav,"Tape 1, Side A",,
,gj856zn6026_1_a_sl.mp3,"Tape 1, Side A",1,
,gj856zn6026_1_b_pm.wav,"Tape 1, Side B",,
,gj856zn6026_1_b_sl.mp3,"Tape 1, Side B",2,
,gj856zn6026_2_a_pm.wav,"Tape 2, Side A",,
,gj856zn6026_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0420930102-FAF0420930202,gk404fk7693_1_a_pm.wav,"Tape 1, Side A",,
,gk404fk7693_1_a_sl.mp3,"Tape 1, Side A",1,
,gk404fk7693_1_b_pm.wav,"Tape 1, Side B",,
,gk404fk7693_1_b_sl.mp3,"Tape 1, Side B",2,
,gk404fk7693_2_a_pm.wav,"Tape 2, Side A",,
,gk404fk7693_2_a_sl.mp3,"Tape 2, Side A",3,
,gk404fk7693_2_b_pm.wav,"Tape 2, Side B",,
,gk404fk7693_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0924960102-FAF0924960202,gn647ry2451_1_a_pm.wav,"Tape 1, Side A",,
,gn647ry2451_1_a_sl.mp3,"Tape 1, Side A",1,
,gn647ry2451_2_a_pm.wav,"Tape 2, Side A",,
,gn647ry2451_2_a_sl.mp3,"Tape 2, Side A",2,
,gn647ry2451_2_b_pm.wav,"Tape 2, Side B",,
,gn647ry2451_2_b_sl.mp3,"Tape 2, Side B",3,
M1897_FAF0412950102-FAF0412950202,gq630mx0901_1_a_pm.wav,"Tape 1, Side A",,
,gq630mx0901_1_a_sl.mp3,"Tape 1, Side A",1,
,gq630mx0901_1_b_pm.wav,"Tape 1, Side B",,
,gq630mx0901_1_b_sl.mp3,"Tape 1, Side B",2,
,gq630mx0901_2_a_pm.wav,"Tape 2, Side A",,
,gq630mx0901_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0518940202,gt167zh8288_a_pm.wav,"Tape 1, Side A",,
,gt167zh8288_a_sl.mp3,"Tape 1, Side A",1,
,gt167zh8288_b_pm.wav,"Tape 1, Side B",,
,gt167zh8288_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF1129930101,gw672kk3483_a_pm.wav,"Tape 1, Side A",,
,gw672kk3483_a_sl.mp3,"Tape 1, Side A",1,
,gw672kk3483_b_pm.wav,"Tape 1, Side B",,
,gw672kk3483_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF0921990101,gx115vk3563_a_pm.wav,"Tape 1, Side A",,
,gx115vk3563_a_sl.mp3,"Tape 1, Side A",1,
,gx115vk3563_b_pm.wav,"Tape 1, Side B",,
,gx115vk3563_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF0409920102-FAF0409920202,hf365sb7957_1_a_pm.wav,"Tape 1, Side A",,
,hf365sb7957_1_a_sl.mp3,"Tape 1, Side A",1,
,hf365sb7957_1_b_pm.wav,"Tape 1, Side B",,
,hf365sb7957_1_b_sl.mp3,"Tape 1, Side B",2,
,hf365sb7957_2_a_pm.wav,"Tape 2, Side A",,
