source_id,filename,label,sequence,druid_no_audio
,cx025pr2107_132_a_sl.mp3,"Tape 6, Side A",11,
,cx025pr2107_132_b_pm.wav,"Tape 6, Side B",,
,cx025pr2107_132_b_sh.wav,"Tape 6, Side B",,
,cx025pr2107_132_b_sl.mp3,"Tape 6, Side B",12,
,cx025pr2107_133_a_pm.wav,"Tape 7, Side A",,
,cx025pr2107_133_a_sh.wav,"Tape 7, Side A",,
,cx025pr2107_133_a_sl.mp3,"Tape 7, Side A",13,
,cx025pr2107_133_b_pm.wav,"Tape 7, Side B",,
,cx025pr2107_133_b_sh.wav,"Tape 7, Side B",,
,cx025pr2107_133_b_sl.mp3,"Tape 7, Side B",14,
,cx025pr2107_134_a_pm.wav,"Tape 8, Side A",,
,cx025pr2107_134_a_sh.wav,"Tape 8, Side A",,
,cx025pr2107_134_a_sl.mp3,"Tape 8, Side A",15,
,cx025pr2107_135_a_pm.wav,"Tape 9, Side A",,
,cx025pr2107_135_a_sh.wav,"Tape 9, Side A",,
,cx025pr2107_135_a_sl.mp3,"Tape 9, Side A",16,
,cx025pr2107_135_b_pm.wav,"Tape 9, Side B",,
,cx025pr2107_135_b_sh.wav,"Tape 9, Side B",,
,cx025pr2107_135_b_sl.mp3,"Tape 9, Side B",17,
,cx025pr2107_136_a_pm.wav,"Tape 10, Side A",,
,cx025pr2107_136_a_sh.wav,"Tape 10, Side A",,
,cx025pr2107_136_a_sl.mp3,"Tape 10, Side A",18,
,cx025pr2107_136_b_pm.wav,"Tape 10, Side B",,
,cx025pr2107_136_b_sh.wav,"Tape 10, Side B",,
,cx025pr2107_136_b_sl.mp3,"Tape 10, Side B",19,
SC1017_s5_Crowell,dc309kd2231_209_a_pm.wav,"Tape 1, Side A",,
,dc309kd2231_209_a_sh.wav,"Tape 1, Side A",,
,dc309kd2231_209_a_sl.mp3,"Tape 1, Side A",1,
,dc309kd2231_209_b_pm.wav,"Tape 1, Side B",,
,dc309kd2231_209_b_sh.wav,"Tape 1, Side B",,
,dc309kd2231_209_b_sl.mp3,"Tape 1, Side B",2,
,dc309kd2231_210_a_pm.wav,"Tape 2, Side A",,
,dc309kd2231_210_a_sh.wav,"Tape 2, Side A",,
,dc309kd2231_210_a_sl.mp3,"Tape 2, Side A",3,
SC1017_s1_Warnlof,df327bj2531_193_a_pm.wav,"Tape 1, Side A",,
,df327bj2531_193_a_sh.wav,"Tape 1, Side A",,
,df327bj2531_193_a_sl.mp3,"Tape 1, Side A",1,
,df327bj2531_193_b_pm.wav,"Tape 1, Side B",,
,df327bj2531_193_b_sh.wav,"Tape 1, Side B",,
,df327bj2531_193_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Leu,df687ck6551_103_a_pm.wav,"Tape 1, Side A",,
,df687ck6551_103_a_sh.wav,"Tape 1, Side A",,
,df687ck6551_103_a_sl.mp3,"Tape 1, Side A",1,
,df687ck6551_103_b_pm.wav,"Tape 1, Side B",,
,df687ck6551_103_b_sh.wav,"Tape 1, Side B",,
,df687ck6551_103_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Roth,dm697td8148_124_a_pm.wav,"Tape 1, Side A",,
,dm697td8148_124_a_sh.wav,"Tape 1, Side A",,
,dm697td8148_124_a_sl.mp3,"Tape 1, Side A",1,
,dm697td8148_124_b_pm.wav,"Tape 1, Side B",,
,dm697td8148_124_b_sh.wav,"Tape 1, Side B",,
,dm697td8148_124_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s6_Nunan,dr860mv8688_266_a_pm.wav,"Tape 1, Side A",,
,dr860mv8688_266_a_sh.wav,"Tape 1, Side A",,
,dr860mv8688_266_a_sl.mp3,"Tape 1, Side A",1,
,dr860mv8688_266_b_pm.wav,"Tape 1, Side B",,
,dr860mv8688_266_b_sh.wav,"Tape 1, Side B",,
,dr860mv8688_266_b_sl.mp3,"Tape 1, Side B",2,
,dr860mv8688_267_a_pm.wav,"Tape 2, Side A",,
,dr860mv8688_267_a_sh.wav,"Tape 2, Side A",,
,dr860mv8688_267_a_sl.mp3,"Tape 2, Side A",3,
,dr860mv8688_267_b_pm.wav,"Tape 2, Side B",,
,dr860mv8688_267_b_sh.wav,"Tape 2, Side B",,
,dr860mv8688_267_b_sl.mp3,"Tape 2, Side B",4,
,dr860mv8688_268_a_pm.wav,"Tape 3, Side A",,
,dr860mv8688_268_a_sh.wav,"Tape 3, Side A",,
,dr860mv8688_268_a_sl.mp3,"Tape 3, Side A",5,
,dr860mv8688_268_b_pm.wav,"Tape 3, Side B",,
,dr860mv8688_268_b_sh.wav,"Tape 3, Side B",,
,dr860mv8688_268_b_sl.mp3,"Tape 3, Side B",6,
,dr860mv8688_269_a_pm.wav,"Tape 4, Side A",,
,dr860mv8688_269_a_sh.wav,"Tape 4, Side A",,
,dr860mv8688_269_a_sl.mp3,"Tape 4, Side A",7,
,dr860mv8688_269_b_pm.wav,"Tape 4, Side B",,
,dr860mv8688_269_b_sh.wav,"Tape 4, Side B",,
,dr860mv8688_269_b_sl.mp3,"Tape 4, Side B",8,
SC1017_s1_Bacon_Rosamund,ds835hd2605_13_a_pm.wav,"Tape 1, Side A",,
,ds835hd2605_13_a_sh.wav,"Tape 1, Side A",,
,ds835hd2605_13_a_sl.mp3,"Tape 1, Side A",1,
,ds835hd2605_13_b_pm.wav,"Tape 1, Side B",,
,ds835hd2605_13_b_sh.wav,"Tape 1, Side B",,
,ds835hd2605_13_b_sl.mp3,"Tape 1, Side B",2,
,ds835hd2605_14_a_pm.wav,"Tape 2, Side A",,
,ds835hd2605_14_a_sh.wav,"Tape 2, Side A",,
,ds835hd2605_14_a_sl.mp3,"Tape 2, Side A",3,
SC1017_s1_Brandin,dv559gn8984_24_a_pm.wav,"Tape 1, Side A",,
,dv559gn8984_24_a_sh.wav,"Tape 1, Side A",,
,dv559gn8984_24_a_sl.mp3,"Tape 1, Side A",1,
,dv559gn8984_24_b_pm.wav,"Tape 1, Side B",,
,dv559gn8984_24_b_sh.wav,"Tape 1, Side B",,
,dv559gn8984_24_b_sl.mp3,"Tape 1, Side B",2,
,dv559gn8984_25_a_pm.wav,"Tape 2, Side A",,
,dv559gn8984_25_a_sh.wav,"Tape 2, Side A",,
,dv559gn8984_25_a_sl.mp3,"Tape 2, Side A",3,
,dv559gn8984_25_b_pm.wav,"Tape 2, Side B",,
,dv559gn8984_25_b_sh.wav,"Tape 2, Side B",,
,dv559gn8984_25_b_sl.mp3,"Tape 2, Side B",4,
,dv559gn8984_26_a_pm.wav,"Tape 3, Side A",,
,dv559gn8984_26_a_sh.wav,"Tape 3, Side A",,
,dv559gn8984_26_a_sl.mp3,"Tape 3, Side A",5,
,dv559gn8984_26_b_pm.wav,"Tape 3, Side B",,
,dv559gn8984_26_b_sh.wav,"Tape 3, Side B",,
,dv559gn8984_26_b_sl.mp3,"Tape 3, Side B",6,
,dv559gn8984_27_a_pm.wav,"Tape 4, Side A",,
,dv559gn8984_27_a_sh.wav,"Tape 4, Side A",,
,dv559gn8984_27_a_sl.mp3,"Tape 4, Side A",7,
,dv559gn8984_27_b_pm.wav,"Tape 4, Side B",,
,dv559gn8984_27_b_sh.wav,"Tape 4, Side B",,
,dv559gn8984_27_b_sl.mp3,"Tape 4, Side B",8,
,dv559gn8984_28_a_pm.wav,"Tape 5, Side A",,
,dv559gn8984_28_a_sh.wav,"Tape 5, Side A",,
,dv559gn8984_28_a_sl.mp3,"Tape 5, Side A",9,
,dv559gn8984_28_b_pm.wav,"Tape 5, Side B",,
,dv559gn8984_28_b_sh.wav,"Tape 5, Side B",,
,dv559gn8984_28_b_sl.mp3,"Tape 5, Side B",10,
